Year,USA,KOR,GBR,CAN,DEU,CHN,JPN,IND,WORLD
1800,0.042136,0,2.4775457,0.007328,0.044171557,0,0,0,0.02852718
1801,0.043749023,0,2.4581363,0.007150719,0.029240523,0,0,0,0.028310228
1802,0.046463702,0,2.4445295,0.006977718,0.029754901,0,0,0,0.03711325
1803,0.04675338,0,2.7193713,0.006808903,0.02830634,0,0,0,0.03165905
1804,0.051547863,0,2.702702,0.006644181,0.05245813,0,0,0,0.03437283
1805,0.05170035,0,2.7736113,0.006483441,0.053302526,0,0,0,0.033360697
1806,0.049647022,0,2.8998947,0.006326589,0.047273606,0,0,0,0.034858096
1807,0.055148073,0,2.8695207,0.006173526,0.13335954,0,0,0,0.036542878
1808,0.056223534,0,2.8397775,0.006024176,0.043796904,0,0,0,0.034621414
1809,0.05672419,0,2.8103423,0.005878427,0.044674568,0,0,0,0.03451837
1810,0.057195846,0,2.7009504,0.005732775,0.046192635,0,0,0,0.03655293
1811,0.05957973,0,2.7727084,0.005594081,0.04306568,0,0,0,0.038523283
1812,0.0625836,0,2.7423942,0.005458749,0.041702244,0,0,0,0.03967323
1813,0.06519789,0,2.6203845,0.005326681,0.04004199,0,0,0,0.039617714
1814,0.06802918,0,2.521406,0.005197819,0.039072905,0,0,0,0.040221095
1815,0.070616506,0,2.4331086,0.005072067,0.044824384,0,0,0,0.041237045
1816,0.07547438,0,2.4458764,0.004949358,0.1021735,0,0,0,0.044885464
1817,0.079147205,0,2.3367283,0.004829619,0.14253065,0,0,0,0.046221104
1818,0.08329477,0,2.2117085,0.004712777,0.14646468,0,0,0,0.046087492
1819,0.0788342,0,2.1248052,0.004587662,0.13376212,0,0,0,0.046044976
1820,0.07940742,0,2.0538151,0.004455307,0.1361196,0,0,0,0.04637714
1821,0.08064995,0,2.0096407,0.004316805,0.1402481,0,0,0,0.04678773
1822,0.08181233,0,2.0428913,0.004173297,0.14235331,0,0,0,0.048329856
1823,0.08290245,0,2.1234748,0.004025936,0.15628752,0,0,0,0.050785296
1824,0.09074809,0,2.195287,0.003883779,0.12372251,0,0,0,0.052213684
1825,0.09872902,0,2.1898577,0.00374664,0.16412507,0,0,0,0.05384573
1826,0.111148365,0,2.1861284,0.003614346,0.15657145,0,0,0,0.054068424
1827,0.11888613,0,2.2480597,0.003486721,0.16771843,0,0,0,0.057634197
1828,0.12727666,0,2.2347286,0.003363603,0.16573869,0,0,0,0.057869107
1829,0.13939415,0,2.2388353,0.00324391,0.13103831,0,0,0,0.057291776
