Year,USA,KOR,GBR,CAN,DEU,CHN,JPN,IND,WORLD
1800,252815.98,0,26633616,3664,795088,0,0,0,28091888
1801,267472,0,26710560,3664,534944,0,0,0,27959984
1802,289456,0,26849792,3664,553264,0,0,0,36782896
1803,296784,0,30191360,3664,534944,0,0,0,31488416
1804,333424,0,30330592,3664,1007599.94,0,0,0,34309696
1805,340752,0,31462768,3664,1040576,0,0,0,33419346
1806,333424,0,33250802,3664,937984,0,0,0,35046160
1807,377392,0,33258130,3664,2689376,0,0,0,36874496
1808,392048,0,33269120,3664,897680,0,0,0,35064480
1809,403040,0,33280114,3664,930656,0,0,0,35090130
1810,417696,0,33291104,3664,978288,0,0,0,37380130
1811,447008,0,35562784,3664,926992,0,0,0,39582190
1812,483648,0,36936784,3664,912336,0,0,0,41007490
1813,520288,0,37376464,3664,890352,0,0,0,41220000
1814,560592,0,38087280,3664,883024,0,0,0,42128670
1815,600896,0,38922670,3664,1029584.06,0,0,0,43488016
1816,663184,0,41436176,3664,2385264,0,0,0,47664976
1817,718144,0,41923490,3664,3381872,0,0,0,49431024
1818,780432,0,42022416,3664,3532096,0,0,0,49643536
1819,762112,0,42337520,3664,3275616,0,0,0,49947650
1820,791424,0,42528050,3664,3381872,0,0,0,50687776
1821,828064,0,42872464,3664,3532096,0,0,0,51435230
1822,864704,0,44521264,3664,3631024,0,0,0,53465090
1823,901344,0,46873550,3664,4034063.8,0,0,0,56550176
1824,1014928,0,49082944,3664,3231648,0,0,0,58525070
1825,1135840,0,49592240,3664,4338176,0,0,0,60756450
1826,1315376,0,50145504,3664,4187952,0,0,0,61419630
1827,1447280,0,52230320,3664,4539696,0,0,0,65915360
1828,1593840,0,52589390,3664,4539696,0,0,0,66637170
1829,1795360,0,53336850,3664,3631024,0,0,0,66395348
1830,2088480,0,67864610,3664,4792512,0,0,0,89123140
1831,2264352,0,65765136,3664,4590992,0,0,0,84528480
1832,3022800,0,65589264,3664,3447824,0,0,0,85111060
1833,3528432,0,65494004,3664,4378480,0,0,0,86807490
1834,3381872,0,65537972,3664,4411456,0,0,0,88485600
1835,4316192,0,65263170,3664,4931744,0,0,0,90445840
1836,4730224,0,76445700,3664,5191888,0,0,0,104775740
1837,5305472,0,73770980,3664,5950336,0,0,0,104691470
1838,5030672,0,75811820,3664,6631840,0,0,0,108044030
1839,5517984,0,77779390,3664,7020224,0,0,0,111612770
1840,5873392,0,80959740,3664,9174656,0,0,0,118929780
1841,6214144,0,81839100,3664,9548384,0,0,0,122619420
1842,6917632,0,85371200,3664,10882080,0,0,0,129504070
1843,7764016,0,89093820,3664,10299504,0,0,0,132852984
1844,9306560,0,93472300,3664,10882080,0,0,0,141423070
1845,11204512,0,99986900,3664,12611488,0,0,0,155210700
1846,12710416,0,95692690,25648,13186736,0,0,0,157793820
1847,15070032,0,103548300,32976,13838928,0,0,0,172402190
1848,16784784,0,109286130,40304,12827664,0,0,0,173816500
